,experiment,date,hour,device_make,platform_os,browser,aware
952,exposed,2020-07-05,8,Generic Smartphone,6,Chrome Mobile,False
976,exposed,2020-07-08,7,Samsung SM-A920F,6,Samsung Internet,False
997,control,2020-07-08,16,Generic Smartphone,6,Chrome Mobile,True
1005,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
1007,exposed,2020-07-05,22,Samsung SM-A520F,6,Chrome Mobile WebView,False
1014,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,True
1019,exposed,2020-07-09,2,Samsung SM-G950F,6,Chrome Mobile WebView,True
1038,control,2020-07-03,15,Samsung SM-G950F,6,Facebook,True
1042,exposed,2020-07-04,16,Samsung SM-G900F,6,Chrome Mobile WebView,False
1045,exposed,2020-07-09,13,Generic Smartphone,6,Chrome Mobile,False
1047,exposed,2020-07-07,20,Samsung SM-A405FN,6,Chrome Mobile WebView,True
1054,control,2020-07-05,4,Generic Smartphone,6,Chrome Mobile,True
1057,exposed,2020-07-09,8,Generic Smartphone,6,Chrome Mobile,True
1064,exposed,2020-07-04,14,Samsung SM-G960F,6,Chrome Mobile WebView,True
1067,exposed,2020-07-04,8,Nokia$2$3,6,Chrome Mobile WebView,True
1070,exposed,2020-07-08,16,Generic Smartphone,6,Chrome Mobile,False
1072,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
1090,exposed,2020-07-10,0,Generic Smartphone,6,Chrome Mobile,True
1097,exposed,2020-07-03,8,iPhone,5,Mobile Safari,False
1111,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
1115,control,2020-07-05,4,Samsung SM-G960F,6,Facebook,False
1117,control,2020-07-04,15,Samsung SM-G930F,6,Samsung Internet,False
1119,exposed,2020-07-06,1,Samsung SM-A505FN,6,Chrome Mobile WebView,True
1133,control,2020-07-04,3,Samsung SM-J530F,6,Samsung Internet,True
1138,exposed,2020-07-03,6,Nokia$2$3,6,Chrome Mobile WebView,True
1142,control,2020-07-03,15,Samsung SM-G975F,6,Samsung Internet,True
1152,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,True
1161,control,2020-07-03,15,VOG-L09,6,Facebook,False
1167,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
1171,control,2020-07-10,15,Generic Smartphone,6,Facebook,True
1180,exposed,2020-07-05,13,Samsung SM-G965F,6,Samsung Internet,True
1186,exposed,2020-07-03,7,LYA-L09,6,Chrome Mobile WebView,False
1190,control,2020-07-10,16,Generic Smartphone,6,Chrome Mobile,True
1196,exposed,2020-07-09,9,Generic Smartphone,6,Chrome Mobile WebView,False
1226,exposed,2020-07-09,13,Nokia$2$3,6,Chrome Mobile WebView,True
1231,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
1235,exposed,2020-07-09,5,Generic Smartphone,6,Chrome Mobile,True
1236,exposed,2020-07-05,7,Generic Smartphone,6,Chrome Mobile,False
1239,exposed,2020-07-04,2,Generic Smartphone,6,Chrome Mobile,False
1252,exposed,2020-07-04,6,Generic Smartphone,6,Chrome Mobile,True
1255,control,2020-07-03,15,Samsung SM-G930F,6,Chrome Mobile WebView,True
1260,exposed,2020-07-09,22,Generic Smartphone,6,Chrome Mobile,True
1271,exposed,2020-07-03,2,Nokia undefined$2$3,6,Chrome Mobile,False
1272,exposed,2020-07-08,18,Samsung SM-G950F,6,Chrome Mobile WebView,False
1285,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
1286,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
1309,exposed,2020-07-05,4,MAR-LX1A,6,Chrome Mobile WebView,False
1312,control,2020-07-10,7,Samsung SM-G950F,6,Facebook,False
1319,control,2020-07-07,20,Generic Smartphone,6,Chrome Mobile,True
1373,exposed,2020-07-08,18,Samsung SM-G920F,6,Chrome Mobile WebView,True
1376,control,2020-07-09,15,Samsung SM-A320FL,6,Samsung Internet,False
1378,exposed,2020-07-10,2,Nokia$2$3,6,Chrome Mobile WebView,False
1386,control,2020-07-03,15,CLT-L09,6,Chrome Mobile,False
1396,exposed,2020-07-10,9,Generic Smartphone,6,Chrome Mobile,False
1408,control,2020-07-09,6,Generic Smartphone,6,Chrome Mobile,True
1418,control,2020-07-09,22,Generic Smartphone,6,Chrome Mobile,True
1429,control,2020-07-03,15,Samsung SM-J415FN,6,Samsung Internet,False
1433,exposed,2020-07-10,11,Samsung $2,6,Samsung Internet,True
1435,control,2020-07-10,9,Samsung SM-G950F,6,Chrome Mobile WebView,False
1437,exposed,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,True
1450,control,2020-07-05,5,Generic Smartphone,6,Chrome Mobile,False
1459,control,2020-07-09,18,Generic Smartphone,6,Chrome Mobile,False
1470,control,2020-07-03,15,Samsung SM-G970F,6,Samsung Internet,False
1475,exposed,2020-07-05,16,Generic Smartphone,6,Chrome Mobile WebView,False
1492,exposed,2020-07-09,6,Generic Smartphone,6,Chrome Mobile,False
1497,control,2020-07-10,9,Generic Smartphone,6,Chrome Mobile,True
1498,control,2020-07-06,8,Generic Smartphone,6,Chrome Mobile,True
1514,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
1516,exposed,2020-07-09,7,Samsung SM-G986B,6,Facebook,True
1519,exposed,2020-07-09,3,Generic Smartphone,6,Chrome Mobile,True
1521,control,2020-07-03,15,Samsung SM-G935F,6,Samsung Internet,True
1522,exposed,2020-07-03,10,Generic Smartphone,6,Chrome Mobile,True
1529,exposed,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,True
1540,control,2020-07-03,15,Samsung SM-G973F,6,Facebook,False
1560,exposed,2020-07-08,15,VOG-L29,6,Facebook,False
1571,control,2020-07-03,15,Samsung SM-A705FN,6,Facebook,False
1578,exposed,2020-07-06,8,Generic Smartphone,6,Chrome Mobile,True
1580,exposed,2020-07-08,17,LG-$2,6,Chrome Mobile WebView,True
1587,exposed,2020-07-10,1,Generic Smartphone,6,Chrome Mobile,False
1591,control,2020-07-03,15,Samsung SM-A705FN,6,Facebook,True
1595,control,2020-07-03,15,Pixel 3,6,Facebook,True
1616,exposed,2020-07-05,8,Samsung SM-J730F,6,Chrome Mobile WebView,True
1624,control,2020-07-04,3,Generic Smartphone,6,Chrome Mobile,False
1632,control,2020-07-08,19,Generic Smartphone,6,Chrome Mobile,False
1637,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile,True
1639,exposed,2020-07-07,11,Generic Smartphone,6,Chrome Mobile,False
1641,exposed,2020-07-09,9,Generic Smartphone,6,Chrome Mobile,True
1664,exposed,2020-07-09,14,Generic Smartphone,6,Chrome Mobile,True
1678,control,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,False
1684,control,2020-07-04,6,Generic Smartphone,6,Chrome Mobile,False
1685,control,2020-07-04,2,Generic Smartphone,6,Chrome Mobile,True
1689,control,2020-07-10,3,Generic Smartphone,6,Chrome Mobile,False
1709,exposed,2020-07-09,13,Generic Smartphone,6,Facebook,False
1710,exposed,2020-07-05,12,Generic Smartphone,6,Chrome Mobile,False
1727,exposed,2020-07-08,19,Samsung SM-G960F,6,Samsung Internet,True
1728,control,2020-07-07,6,Generic Smartphone,6,Chrome Mobile,False
1750,control,2020-07-03,15,Generic Smartphone,6,Facebook,True
1754,exposed,2020-07-07,20,Samsung SM-N960F,6,Chrome Mobile WebView,False
1763,control,2020-07-10,6,Generic Smartphone,6,Chrome Mobile,True
1766,exposed,2020-07-05,15,Samsung SM-G950F,6,Chrome Mobile WebView,True
1768,exposed,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,True
1782,exposed,2020-07-03,9,Generic Smartphone,6,Chrome Mobile,True
1783,exposed,2020-07-09,11,Generic Smartphone,6,Chrome Mobile,False
1788,control,2020-07-06,2,Generic Smartphone,6,Facebook,False
1795,exposed,2020-07-10,1,HTC U12+,6,Chrome Mobile,False
1796,control,2020-07-05,8,Samsung SM-G770F,6,Samsung Internet,False
1806,exposed,2020-07-06,3,Generic Smartphone,6,Chrome Mobile,False
1815,control,2020-07-07,3,Samsung SM-J330G,6,Facebook,False
1832,control,2020-07-08,18,Generic Smartphone,6,Chrome Mobile,False
1835,exposed,2020-07-08,16,Samsung SM-A105FN,6,Chrome Mobile WebView,False
1840,control,2020-07-08,18,Generic Smartphone,6,Chrome Mobile,False
1841,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile WebView,False
1845,control,2020-07-03,15,Samsung SM-A715F,6,Facebook,True
1846,control,2020-07-10,0,Nokia undefined$2$3,6,Chrome Mobile,True
1862,exposed,2020-07-09,4,Samsung SM-G975F,6,Chrome Mobile WebView,False
1867,exposed,2020-07-03,0,Generic Smartphone,6,Chrome Mobile,False
1871,control,2020-07-05,5,Generic Smartphone,6,Chrome Mobile,False
1872,exposed,2020-07-10,6,ELE-L09,6,Chrome Mobile WebView,True
1879,exposed,2020-07-06,1,Generic Smartphone,6,Chrome Mobile,False
1880,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile,False
1881,control,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,False
1884,exposed,2020-07-06,3,Samsung SM-G970F,6,Samsung Internet,True
1893,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile,False
1894,exposed,2020-07-03,1,Samsung SM-J330FN,6,Samsung Internet,False
1907,exposed,2020-07-09,10,Generic Smartphone,6,Chrome Mobile,True
1915,exposed,2020-07-04,7,Generic Smartphone,6,Chrome Mobile,False
1935,control,2020-07-09,10,I3312,6,Facebook,False
1943,control,2020-07-03,15,POT-LX1,6,Facebook,True
1952,control,2020-07-09,8,Generic Smartphone,6,Chrome Mobile,False
1966,control,2020-07-10,10,G3311,6,Facebook,False
1967,exposed,2020-07-03,10,Samsung SM-G973F,6,Samsung Internet,False
1972,control,2020-07-05,10,Generic Smartphone,6,Chrome Mobile,True
1977,exposed,2020-07-10,8,Samsung SM-G975F,6,Chrome Mobile WebView,True
1978,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
1979,control,2020-07-03,15,Samsung SM-G950F,6,Facebook,True
1988,control,2020-07-05,18,Samsung SM-J320FN,6,Chrome Mobile,False
1990,control,2020-07-04,20,Samsung SM-G970F,6,Facebook,True
1994,exposed,2020-07-05,17,Generic Smartphone,6,Chrome Mobile,False
2004,exposed,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,True
2018,control,2020-07-07,10,Generic Smartphone,6,Chrome Mobile,False
2020,exposed,2020-07-09,8,Generic Smartphone,6,Chrome Mobile,False
2022,exposed,2020-07-09,6,Samsung SM-G960F,6,Samsung Internet,True
2040,control,2020-07-08,7,Generic Smartphone,6,Chrome Mobile,False
2046,exposed,2020-07-09,21,YAL-L21,6,Chrome Mobile WebView,True
2051,exposed,2020-07-08,13,Generic Smartphone,6,Chrome Mobile,True
2054,control,2020-07-04,8,Generic Smartphone,6,Chrome Mobile,True
2057,exposed,2020-07-09,5,Generic Smartphone,6,Chrome Mobile,False
2068,exposed,2020-07-08,19,Generic Smartphone,6,Chrome Mobile,False
2077,control,2020-07-09,14,Generic Smartphone,6,Chrome Mobile,False
2083,control,2020-07-05,5,Generic Smartphone,6,Chrome Mobile,False
2087,exposed,2020-07-09,6,Generic Smartphone,6,Chrome Mobile,True
2092,exposed,2020-07-04,13,Samsung SM-G950F,6,Facebook,False
2115,control,2020-07-09,11,Generic Smartphone,6,Chrome Mobile,True
2116,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
2123,exposed,2020-07-09,18,Samsung SM-G960F,6,Chrome Mobile WebView,True
2125,exposed,2020-07-04,10,Generic Smartphone,6,Chrome Mobile,True
2126,exposed,2020-07-08,20,Samsung SM-J510FN,6,Samsung Internet,False
2134,exposed,2020-07-05,10,Generic Smartphone,6,Chrome Mobile,False
2139,control,2020-07-04,8,XiaoMi Redmi 6A,6,Facebook,False
2145,exposed,2020-07-08,18,Generic Smartphone,6,Chrome Mobile,False
2172,exposed,2020-07-03,9,Generic Smartphone,6,Chrome Mobile WebView,False
2183,exposed,2020-07-06,9,Generic Smartphone,6,Chrome Mobile,False
2184,exposed,2020-07-10,3,Generic Smartphone,6,Chrome Mobile WebView,False
2187,control,2020-07-10,12,ANE-LX1,6,Facebook,True
2197,control,2020-07-07,8,Samsung SM-G955F,6,Chrome Mobile WebView,True
2233,exposed,2020-07-08,15,SNE-LX1,6,Facebook,False
2236,control,2020-07-09,19,Samsung SM-N976B,6,Facebook,False
2238,control,2020-07-10,6,Samsung SM-G973F,6,Chrome Mobile WebView,True
2239,exposed,2020-07-04,2,Generic Smartphone,6,Chrome Mobile WebView,False
2253,exposed,2020-07-06,7,Samsung SM-G960F,6,Samsung Internet,False
2256,control,2020-07-07,10,Generic Smartphone,6,Chrome Mobile,True
2263,exposed,2020-07-04,16,Samsung SM-G935F,6,Samsung Internet,False
2270,control,2020-07-08,21,LG-$2,6,Chrome Mobile,True
2277,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
2286,control,2020-07-09,12,Samsung SM-A105FN,6,Chrome Mobile,False
2287,exposed,2020-07-05,12,Generic Smartphone,6,Chrome Mobile,False
2306,control,2020-07-10,2,Generic Smartphone,6,Chrome Mobile,True
2333,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
2346,exposed,2020-07-03,10,Samsung SM-J600FN,6,Samsung Internet,True
2347,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
2357,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
2361,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
2363,control,2020-07-08,2,Generic Smartphone,6,Chrome Mobile,False
2364,exposed,2020-07-07,2,Generic Smartphone,6,Chrome Mobile,False
2367,exposed,2020-07-09,8,Generic Smartphone,6,Chrome Mobile WebView,False
2383,exposed,2020-07-07,17,Samsung SM-G980F,6,Samsung Internet,False
2386,control,2020-07-03,15,ANE-LX1,6,Facebook,True
2387,exposed,2020-07-04,8,Generic Smartphone,6,Chrome Mobile,False
2400,exposed,2020-07-08,16,Generic Smartphone,6,Chrome Mobile WebView,False
2409,control,2020-07-10,4,Generic Smartphone,6,Chrome Mobile,True
2416,control,2020-07-09,4,Nokia undefined$2$3,6,Chrome Mobile,False
2417,exposed,2020-07-09,10,Samsung SM-G935F,6,Facebook,False
2421,control,2020-07-03,15,Samsung SM-G988B,6,Facebook,True
2427,exposed,2020-07-05,7,LG-$2,6,Chrome Mobile WebView,False
2428,control,2020-07-08,21,Samsung SM-A405FN,6,Facebook,True
2440,control,2020-07-03,15,Samsung SM-A405FN,6,Samsung Internet,True
2453,exposed,2020-07-09,15,Generic Smartphone,6,Chrome Mobile,False
2456,exposed,2020-07-03,10,Samsung SM-G975F,6,Chrome Mobile WebView,False
2457,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
2465,exposed,2020-07-05,0,Generic Smartphone,6,Chrome Mobile,True
2476,control,2020-07-09,0,Generic Smartphone,6,Chrome Mobile,False
2477,exposed,2020-07-09,0,Generic Smartphone,6,Chrome Mobile,False
2481,exposed,2020-07-10,11,Generic Smartphone,6,Chrome Mobile,False
2485,exposed,2020-07-08,16,Generic Smartphone,6,Chrome Mobile,True
2487,control,2020-07-10,5,Samsung SM-A202F,6,Samsung Internet,False
2488,exposed,2020-07-04,4,Generic Smartphone,6,Chrome Mobile WebView,False
2490,exposed,2020-07-05,8,Generic Smartphone,6,Chrome Mobile,False
2502,control,2020-07-03,15,Samsung SM-A520F,6,Facebook,False
2521,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile,False
2526,exposed,2020-07-10,3,Generic Smartphone,6,Chrome Mobile,False
2531,exposed,2020-07-05,12,Huawei Browser,6,Chrome,True
2537,control,2020-07-10,8,Samsung SM-A705FN,6,Samsung Internet,True
2547,control,2020-07-05,1,Samsung $2,6,Samsung Internet,False
2556,control,2020-07-10,15,Generic Smartphone,6,Chrome Mobile,False
2558,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile,True
2563,exposed,2020-07-09,8,MRD-LX1,6,Chrome Mobile WebView,False
2564,control,2020-07-09,7,Samsung SM-J320FN,6,Facebook,False
2573,exposed,2020-07-08,18,Samsung SM-G965U1,6,Facebook,False
2574,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,False
2585,exposed,2020-07-03,6,Samsung SM-A705FN,6,Samsung Internet,True
2589,control,2020-07-08,22,Generic Smartphone,6,Chrome Mobile,True
2592,control,2020-07-07,17,Generic Smartphone,6,Chrome Mobile,True
2598,exposed,2020-07-03,1,Generic Smartphone,6,Chrome Mobile,True
2600,exposed,2020-07-04,3,Generic Smartphone,6,Chrome Mobile,False
2602,control,2020-07-03,15,Samsung SM-G960F,6,Facebook,False
2606,exposed,2020-07-09,14,Nokia$2$3,6,Chrome Mobile WebView,False
2610,exposed,2020-07-09,11,Generic Smartphone,6,Chrome Mobile,False
2614,exposed,2020-07-08,17,Generic Smartphone,6,Chrome Mobile,True
2620,exposed,2020-07-04,10,Samsung SM-G900F,6,Chrome Mobile WebView,False
2625,control,2020-07-10,16,Samsung SM-A320FL,6,Samsung Internet,True
2630,control,2020-07-03,15,iPhone,5,Mobile Safari,False
2631,control,2020-07-03,15,iPhone,5,Mobile Safari UI/WKWebView,False
2637,exposed,2020-07-06,3,Generic Smartphone,6,Chrome Mobile,False
2647,control,2020-07-08,8,Samsung SM-G973F,6,Facebook,True
2656,control,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,False
2660,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
